Index,id,Age,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,satisfaction_satisfied
0,70172,-1.7418634741468217,1,-0.7835084784632727,3,4,3,1,5,3,5,5,4,3,4,4,5,5,1.47279603063545,1,0,1,0
1,5047,-0.9544920321499282,2,-1.2742481299668138,3,2,3,3,1,3,1,1,1,5,3,1,4,1,-0.5419590692304329,1,1,0,0
2,110028,-0.8887542315728034,2,0.3229900213989827,2,2,2,2,5,5,5,5,4,3,4,4,4,5,-0.7298492686649699,0,0,0,1
3,24026,-0.9544920321499282,2,-0.5817028185194855,2,5,5,5,2,2,2,2,2,5,3,1,4,2,0.7604217344638439,0,0,0,0
4,119299,1.4304092236853234,2,-1.3232605657062309,3,3,3,3,4,5,5,3,3,4,4,3,3,3,-0.7298492686649699,1,0,0,1
5,111157,-0.8887542315728034,0,0.36796881057817615,3,4,2,1,1,2,1,1,3,4,4,4,4,1,-0.7298492686649699,0,0,1,0
6,82113,0.4984315037334507,0,0.47408534971598004,2,4,2,3,2,2,2,2,3,3,4,3,5,2,0.5717532519075998,1,0,1,0
7,96462,0.8307836450921969,2,1.0724345127672952,4,3,4,4,5,5,5,5,5,5,5,4,5,4,-0.048475595037772844,0,0,0,1
8,79485,0.10055347219059227,2,-0.07639437292108336,1,2,2,2,4,3,3,1,1,2,1,4,1,2,-0.7298492686649699,0,0,0,0
9,65725,-1.2828760678960234,0,0.221285937953736,3,3,3,4,2,3,3,2,2,3,4,4,3,2,-0.7298492686649699,1,1,0,0
10,34991,-1.0202086092434266,0,0.37028783152651523,4,5,5,4,2,5,2,2,3,3,5,3,5,2,-0.7298492686649699,0,1,0,0
11,51412,-1.807369731343213,1,-1.1081409474635733,2,4,2,2,1,2,1,1,1,2,5,5,5,1,-0.7298492686649699,0,0,1,0
12,98628,0.8973264600105243,0,-0.10621674611398993,1,4,4,4,1,1,1,1,1,1,3,4,4,1,1.5480059091752456,1,0,0,0
13,83502,-0.42792450385976155,0,0.06321661799577855,4,2,4,3,4,4,4,4,4,5,2,2,2,4,-0.7298492686649699,1,0,1,1
14,95789,-0.8887542315728034,0,-0.797829642660378,3,2,3,2,2,3,2,2,4,3,2,2,1,2,1.7693908237696871,0,0,1,0
15,100580,-1.7418634741468217,0,-0.7308464523941817,2,1,2,3,4,2,1,4,2,1,4,1,3,4,-0.5419590692304329,1,1,0,0
16,71142,-0.8887542315728034,2,1.1242965327213212,3,3,3,3,4,4,4,4,5,3,4,5,4,4,1.818021690455112,0,0,0,1
17,127461,0.10055347219059227,2,1.096322799743062,4,4,2,4,4,4,4,5,5,5,5,3,5,5,-0.7298492686649699,1,0,0,1
18,70354,0.3656786020597645,2,1.3148300997799778,4,4,4,4,3,4,5,5,5,5,5,3,5,4,0.35098690532699,0,0,0,1
19,66246,-0.09790067170815119,0,-0.7835084784632727,2,3,3,2,5,3,5,5,1,2,4,3,2,5,1.1677987195822834,1,0,1,0
20,39076,-2.0038017334642717,0,0.3609827918844804,2,4,2,4,2,2,1,2,1,5,3,4,3,2,-0.7298492686649699,1,0,0,0
21,22434,-1.4796841722063308,0,-1.337364993402043,3,1,3,3,5,3,5,5,2,5,3,3,4,5,-0.7298492686649699,0,0,1,0
22,43510,0.23304824810637165,0,-0.2399937339710087,3,5,3,5,5,4,5,3,3,3,5,3,3,4,1.8375519549299841,0,0,1,0
23,114090,1.230358446402986,0,1.133459467923502,4,5,4,5,4,3,4,4,4,4,4,2,4,2,-0.7298492686649699,0,0,1,0
24,105420,-1.0859046644234112,0,-0.7998804746354795,5,0,5,1,1,5,1,1,4,5,5,3,5,1,1.849161233903493,0,1,0,1
25,102956,1.1637118969859905,0,-0.29615748407944376,4,4,4,1,5,4,5,5,3,2,4,4,5,5,1.5246340384378716,1,0,1,0
26,18510,-0.42792450385976155,2,0.7391208624346857,1,1,1,1,1,5,3,4,4,4,3,5,4,2,-0.7298492686649699,0,0,0,1
27,14925,0.6312962199425015,1,-1.0925609908663179,4,4,4,4,2,2,1,4,4,4,4,2,4,2,-0.7298492686649699,0,0,0,1
